Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,Daily_Return,Log_Return,SMA_5,SMA_20,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,ATR_14,BB_Middle,BB_Std,BB_Upper,BB_Lower,OBV
BBC,10/11/2020,1700,1700,1670,1670,-1.76%,160,268300,-0.017647059,-0.017804625,1677.6,1654.2,1657.946154,1640.318169,52.70805812,17.62798489,13.35523931,30.85714286,1654.2,37.35829366,1728.916587,1579.483413,5249
BBC,10/12/2020,1699,1699,1680,1680,0.60%,75,126228,0.005988024,0.005970167,1688,1655.4,1661.339053,1643.257564,46.76445211,18.08148942,14.30048933,30.64285714,1655.4,37.80197711,1731.003954,1579.796046,5324
BBC,10/13/2020,1682,1682,1682,1682,0.12%,10,16820,0.001190476,0.001189768,1692,1655.05,1664.51766,1646.127374,39.98000286,18.39028654,15.11844877,27.64285714,1655.05,37.50575394,1730.061508,1580.038492,5334
BBC,10/14/2020,1715,1715,1666,1666,-0.95%,180,302610,-0.009512485,-0.009558018,1679.6,1656.35,1664.745713,1647.59942,39.71339387,17.14629242,15.5240175,28.78571429,1656.35,37.40711303,1731.164226,1581.535774,5154
BBC,10/15/2020,1660,1699,1660,1660,-0.36%,355,598160,-0.003601441,-0.003607941,1671.6,1658.3,1664.015603,1648.517982,53.794744,15.49762132,15.51873827,29.5,1658.3,36.47219561,1731.244391,1585.355609,4799
BBC,10/19/2020,1670,1670,1640,1640,-1.20%,70,116310,-0.012048193,-0.012121361,1665.6,1657.8,1660.320895,1647.88702,46.44675435,12.43387478,14.90176557,29.35714286,1657.8,36.6600313,1731.120063,1584.479937,4729
BBC,10/20/2020,1672,1739,1672,1675,2.13%,108,182600,0.021341463,0.021116923,1664.6,1655.95,1662.579219,1649.895389,55.84996559,12.68382977,14.45817841,36.07142857,1655.95,34.65996477,1725.26993,1586.63007,4837
BBC,10/21/2020,1655,1655,1648,1652,-1.37%,350,577520,-0.013731343,-0.01382649,1658.6,1653.05,1660.951647,1650.051286,65.14363031,10.90036055,13.74661484,35.85714286,1653.05,32.24164518,1717.53329,1588.56671,4487
BBC,10/22/2020,1685,1685,1675,1675,1.39%,80,134300,0.013922518,0.01382649,1660.4,1653.5,1663.112932,1651.899339,64.92459154,11.21359281,13.24001043,38.21428571,1653.5,32.49372409,1718.487448,1588.512552,4567
BBC,10/28/2020,1700,1708,1700,1708,1.97%,118,201082,0.019701493,0.01950993,1670,1656.9,1670.018635,1656.054943,66.42527288,13.9636911,13.38474656,38.28571429,1656.9,34.50232639,1725.904653,1587.895347,4685
